"SafeStage — Synthetic User Behaviour Dataset (2,000 Rows)",,,,,,,,,,,,,,,,
◆ DEMOGRAPHICS,,,,◆ IDENTITY VERIFICATION,,,◆ BEHAVIOURAL METRICS,,,◆ FINANCIALS,,◆ PREFERENCE & INTENT,,,◆ LABELS,
U2844,19,Singapore/Singapore,127,Yes,Passport,0.1,170,Linear,36,3447.9,10803.1,Music,Early Access,Bot Competition,Maybe,Bot
U2783,22,Chicago/USA,143,No,None,0.54,316,Linear,34,4793.59,13998.03,Music,Early Access,Bot Competition,No,Bot
U1919,25,Paris/France,570,Yes,Passport,3.96,6784,Natural,4,129.35,80,Music,Face-value Resale,Interface Complexity,Yes,Fan
U2845,25,Madrid/Spain,189,No,None,0.77,136,Linear,27,2968.67,9091.82,Theatre,Early Access,Bot Competition,No,Bot
U1650,18,Vancouver/Canada,819,Yes,National ID,2.65,11785,Natural,4,677.61,800,Music,Face-value Resale,High Prices,Yes,Fan
U2168,41,Mexico City/Mexico,225,No,None,5.39,1401,Linear,17,2377.18,5295.56,Music,Early Access,Interface Complexity,No,Scalper
U2432,46,Toronto/Canada,561,Yes,National ID,4.94,3864,Erratic,22,1593.87,3599.89,Music,Early Access,High Prices,No,Scalper
U2703,35,Mumbai/India,151,No,None,0.97,232,Linear,31,3924.57,11422.84,Sports,Early Access,Bot Competition,No,Bot
U1499,18,Melbourne/Australia,893,Yes,National ID,5.85,7333,Natural,5,483.21,703.83,Sports,Early Access,High Prices,Yes,Fan
U2936,19,Berlin/Germany,134,No,None,0.42,268,Linear,42,5553.49,15000,Sports,Early Access,Interface Complexity,No,Bot
U2629,26,Toronto/Canada,80,Yes,Passport,0.42,166,Linear,70,4873.13,14404.45,Theatre,Early Access,Bot Competition,Maybe,Bot
U1295,36,Austin/USA,931,Yes,Passport,6.02,5684,Natural,5,455.97,659.48,Music,Early Access,High Prices,Yes,Fan
U2003,26,Toronto/Canada,397,Yes,National ID,4.86,3668,Erratic,14,2659.6,5827.74,Music,Early Access,Interface Complexity,No,Scalper
U1224,21,Dubai/UAE,777,Yes,National ID,5.32,8064,Natural,5,775.76,800,Music,Early Access,High Prices,Yes,Fan
U2842,25,New York/USA,14,No,None,0.46,248,Linear,43,4136.35,12136.27,Music,Early Access,Bot Competition,Maybe,Bot
U1667,31,Vancouver/Canada,1047,Yes,National ID,6.98,8195,Natural,5,384.81,562.51,Music,Face-value Resale,Bot Competition,Yes,Fan
U2362,43,Melbourne/Australia,852,Yes,State ID,2.61,1049,Erratic,10,3733.75,8000,Theatre,Early Access,Bot Competition,Maybe,Scalper
U1800,18,Mumbai/India,633,Yes,National ID,4.31,5264,Natural,4,378.19,530.31,Sports,Group Booking,Bot Competition,Maybe,Fan
U1401,28,Amsterdam/Netherlands,1017,Yes,National ID,3.61,8253,Natural,4,455.07,555.52,Music,Early Access,Bot Competition,Maybe,Fan
U2795,29,Dubai/UAE,263,No,None,0.83,222,Linear,51,3061.85,9767.89,Sports,Face-value Resale,Bot Competition,Maybe,Bot
U2562,29,Mexico City/Mexico,896,No,None,1.8,1803,Linear,19,2959.12,6182.95,Music,Early Access,Bot Competition,Maybe,Scalper
U2071,22,London/UK,631,Yes,National ID,1.42,1812,Erratic,22,3647.12,7830.19,Music,Early Access,Interface Complexity,No,Scalper
U2259,36,Singapore/Singapore,60,No,None,2.67,2250,Erratic,11,3458.75,7602.16,Music,Early Access,Interface Complexity,No,Scalper
U1513,27,Paris/France,1010,Yes,State ID,5.75,3000,Natural,3,458.49,568.45,Music,Face-value Resale,High Prices,Yes,Fan
U1617,27,Los Angeles/USA,618,Yes,State ID,6.1,10122,Natural,2,509.6,756.43,Music,Face-value Resale,High Prices,Yes,Fan
U1616,23,Mexico City/Mexico,844,Yes,State ID,2,7245,Natural,5,306.35,433.09,Sports,Face-value Resale,Bot Competition,Yes,Fan
U1686,23,Tokyo/Japan,1700,Yes,Driver's License,4.62,10591,Natural,4,509.8,686.35,Sports,Group Booking,Interface Complexity,Yes,Fan
U1913,51,Madrid/Spain,824,Yes,National ID,2.19,11534,Natural,5,282.04,320.21,Sports,Group Booking,Bot Competition,Yes,Fan
U1680,32,São Paulo/Brazil,683,Yes,Driver's License,3.15,7696,Natural,1,590.43,800,Sports,Early Access,Bot Competition,Yes,Fan
U2929,32,Mexico City/Mexico,213,No,None,0.35,116,Linear,64,4604.58,14852.02,Music,Early Access,Bot Competition,No,Bot
U2199,43,Paris/France,807,Yes,State ID,1.95,1585,Linear,19,2651.1,5901.56,Sports,Early Access,High Prices,Maybe,Scalper
U1024,37,Melbourne/Australia,680,Yes,Passport,4.76,7913,Natural,2,805.91,800,Music,Early Access,Bot Competition,Yes,Fan
U2066,40,Singapore/Singapore,329,No,None,1.91,2980,Erratic,16,2213.52,4616.33,Music,Early Access,Interface Complexity,Maybe,Scalper
U1200,35,Vancouver/Canada,892,Yes,Driver's License,3.44,7392,Natural,2,298.47,406.3,Sports,Face-value Resale,Interface Complexity,Maybe,Fan
U1306,31,London/UK,354,Yes,Driver's License,5.41,7563,Natural,4,264.5,472.66,Music,Early Access,Interface Complexity,Yes,Fan
U1246,36,Madrid/Spain,1221,Yes,State ID,7.34,5835,Natural,1,474.69,722.29,Music,Group Booking,Bot Competition,Yes,Fan
U2250,41,Amsterdam/Netherlands,464,No,None,6.52,1768,Erratic,31,2389.12,5355.65,Sports,Early Access,Interface Complexity,No,Scalper
U2591,34,Mexico City/Mexico,548,Yes,State ID,5.74,1226,Linear,18,3245.33,7217,Sports,Face-value Resale,Interface Complexity,Maybe,Scalper
U1468,18,Chicago/USA,543,Yes,State ID,4.44,5184,Natural,4,472.37,737.95,Sports,Early Access,Bot Competition,Yes,Fan
U1656,28,Toronto/Canada,606,Yes,Driver's License,6.66,9182,Natural,2,619.12,800,Sports,Early Access,Bot Competition,Yes,Fan
U1021,21,Los Angeles/USA,946,Yes,National ID,4.57,4942,Natural,4,520.94,800,Music,Face-value Resale,Interface Complexity,Maybe,Fan
U1378,29,Paris/France,785,Yes,State ID,4.35,6805,Natural,1,348.02,508.77,Theatre,Face-value Resale,Bot Competition,Yes,Fan
U2008,34,Chicago/USA,321,Yes,Passport,1.34,3106,Linear,16,3613.05,7893.25,Music,Early Access,Interface Complexity,Maybe,Scalper
U2287,25,Seoul/South Korea,733,Yes,State ID,0.5,2194,Erratic,24,2755.83,6081.56,Music,Early Access,Bot Competition,Maybe,Scalper
U1404,18,Austin/USA,1090,Yes,Passport,3.66,11996,Natural,1,656.01,800,Theatre,Face-value Resale,Bot Competition,Maybe,Fan
U1226,31,Madrid/Spain,118,Yes,Driver's License,4.74,8891,Natural,4,642.44,800,Music,Group Booking,High Prices,Maybe,Fan
U1645,33,Singapore/Singapore,1038,Yes,State ID,6.35,10938,Natural,2,567.65,718.63,Sports,Face-value Resale,High Prices,Yes,Fan
U1811,36,Paris/France,756,Yes,National ID,3.98,13264,Natural,3,552.32,773.76,Music,Face-value Resale,Bot Competition,Yes,Fan
U1784,46,Austin/USA,665,Yes,State ID,5.38,6402,Natural,3,605.44,800,Theatre,Face-value Resale,Bot Competition,Yes,Fan
U2984,23,Amsterdam/Netherlands,153,No,None,1.14,234,Linear,38,6806.44,15000,Music,Early Access,Interface Complexity,No,Bot
U2017,28,Paris/France,393,Yes,National ID,1.5,3466,Linear,19,2753.09,5810.29,Sports,Early Access,High Prices,No,Scalper
U1618,34,Austin/USA,1691,Yes,National ID,4.86,6834,Natural,1,670.16,800,Theatre,Face-value Resale,High Prices,Yes,Fan
U1085,36,Mexico City/Mexico,835,Yes,State ID,4.44,9487,Natural,1,488.83,697.68,Music,Group Booking,High Prices,Yes,Fan
U2361,34,Melbourne/Australia,375,Yes,State ID,2.76,2020,Erratic,22,3210.07,7233.61,Sports,Group Booking,Interface Complexity,Maybe,Scalper
U2830,27,Melbourne/Australia,176,Yes,State ID,0.48,402,Linear,56,3095.48,8902.8,Music,Group Booking,Bot Competition,No,Bot
U2207,26,Singapore/Singapore,766,Yes,National ID,4.76,2800,Erratic,14,1726.63,4009.55,Sports,Face-value Resale,Bot Competition,No,Scalper
U2671,22,Sydney/Australia,163,No,None,0.57,253,Linear,39,4012.53,12832.42,Theatre,Early Access,Bot Competition,No,Bot
U1604,37,Amsterdam/Netherlands,1212,Yes,State ID,2.98,9001,Natural,2,382.74,453.35,Sports,Group Booking,High Prices,Maybe,Fan
U1454,43,Toronto/Canada,962,Yes,State ID,3.32,7785,Natural,5,386.11,636,Music,Group Booking,High Prices,Yes,Fan
U2492,43,Los Angeles/USA,510,Yes,State ID,1.72,2804,Erratic,14,3513.04,7987.02,Music,Early Access,Interface Complexity,Maybe,Scalper
U2683,31,Sydney/Australia,1,No,None,0.12,278,Linear,52,5933.15,15000,Music,Early Access,Bot Competition,No,Bot
U2446,39,New York/USA,839,No,None,3.85,2171,Linear,15,1299.22,2889,Music,Face-value Resale,Interface Complexity,No,Scalper
U2533,22,Sydney/Australia,519,No,None,0.5,3285,Erratic,13,3849.31,8000,Theatre,Early Access,Interface Complexity,No,Scalper
U1214,18,Seoul/South Korea,952,Yes,National ID,4.79,7241,Natural,6,131.84,118.3,Sports,Face-value Resale,High Prices,Yes,Fan
U1989,39,Singapore/Singapore,919,Yes,Driver's License,5.42,11494,Natural,4,374.07,387.33,Music,Group Booking,High Prices,Maybe,Fan
U2623,32,Austin/USA,116,No,None,0.61,106,Linear,62,4666.21,14845.51,Theatre,Early Access,Bot Competition,No,Bot
U1363,37,Vancouver/Canada,1161,Yes,Passport,3.13,9850,Natural,3,433.12,612.22,Music,Early Access,High Prices,Yes,Fan
U2127,33,Berlin/Germany,592,No,None,3.78,2326,Erratic,14,2140.06,4615.86,Sports,Early Access,Interface Complexity,No,Scalper
U2015,32,Berlin/Germany,642,No,None,2.2,2883,Erratic,15,3367.64,7212.69,Sports,Early Access,Bot Competition,Maybe,Scalper
U1560,28,Los Angeles/USA,902,Yes,National ID,2.73,6580,Natural,1,544.91,800,Sports,Early Access,Bot Competition,Yes,Fan
U2643,18,Tokyo/Japan,48,No,None,0.34,334,Linear,34,4867.66,14775.66,Sports,Early Access,Bot Competition,No,Bot
U2532,44,Mexico City/Mexico,465,Yes,Passport,3.26,2575,Linear,13,2331.31,4668.63,Music,Early Access,Bot Competition,No,Scalper
U1535,22,Melbourne/Australia,901,Yes,National ID,2.66,10675,Natural,3,621.34,800,Music,Face-value Resale,Bot Competition,Yes,Fan
U1697,18,Mexico City/Mexico,1253,Yes,Passport,5.38,10936,Natural,5,790.77,800,Theatre,Group Booking,High Prices,Yes,Fan
U2138,39,Madrid/Spain,900,Yes,Driver's License,3.07,2358,Erratic,21,3059.74,6510.94,Music,Face-value Resale,Interface Complexity,No,Scalper
U2868,28,Berlin/Germany,145,No,None,0.11,161,Linear,71,5463.54,15000,Sports,Early Access,Bot Competition,Maybe,Bot
U2438,22,Singapore/Singapore,592,Yes,Driver's License,2.88,4054,Erratic,22,1896.88,4372.03,Theatre,Early Access,Interface Complexity,Maybe,Scalper
U1237,37,Amsterdam/Netherlands,1334,Yes,Driver's License,4.07,4484,Natural,3,466.85,576.49,Music,Early Access,High Prices,Yes,Fan
U2838,26,New York/USA,54,No,None,0.82,61,Linear,33,4623.86,13515.48,Music,Early Access,Bot Competition,No,Bot
U2949,26,Melbourne/Australia,173,No,None,0.68,213,Linear,52,3021.55,9061.21,Music,Early Access,Bot Competition,No,Bot
U2876,18,Mumbai/India,74,No,None,0.56,74,Linear,55,5219.41,15000,Music,Early Access,Interface Complexity,No,Bot
U2411,28,Tokyo/Japan,617,Yes,Driver's License,2.41,2753,Linear,15,2986.35,6419.48,Sports,Early Access,Interface Complexity,No,Scalper
U1832,21,Mexico City/Mexico,708,Yes,State ID,5.39,7079,Natural,4,448.37,643.31,Theatre,Group Booking,Bot Competition,Yes,Fan
U2648,29,London/UK,151,No,None,0.49,50,Linear,25,3773.92,11040.96,Music,Early Access,Interface Complexity,No,Bot
U2213,39,Melbourne/Australia,588,Yes,Driver's License,2.44,3149,Linear,22,3055.63,6809.77,Music,Early Access,Interface Complexity,No,Scalper
U2565,32,Austin/USA,435,Yes,State ID,3.05,1679,Linear,19,2673.61,5573.05,Music,Early Access,Interface Complexity,No,Scalper
U1911,35,Mexico City/Mexico,880,Yes,National ID,4.48,5033,Natural,3,282.58,426.29,Theatre,Early Access,High Prices,Yes,Fan
U1579,33,Tokyo/Japan,606,Yes,Driver's License,2.84,3304,Natural,1,326.75,433.37,Music,Group Booking,High Prices,Yes,Fan
U2898,20,Chicago/USA,96,No,None,0.72,140,Linear,51,4491.78,14034.57,Sports,Early Access,Bot Competition,No,Bot
U2435,26,Vancouver/Canada,400,Yes,Driver's License,5.51,3222,Erratic,12,2856.27,6944.79,Theatre,Early Access,Interface Complexity,No,Scalper
U1819,40,Dubai/UAE,756,Yes,State ID,3.63,8147,Natural,5,563.66,675.19,Sports,Face-value Resale,Bot Competition,Yes,Fan
U2765,18,Berlin/Germany,100,No,None,0.14,174,Linear,46,4203.03,11698.65,Music,Early Access,Bot Competition,No,Bot
U2875,23,Los Angeles/USA,110,Yes,Passport,0.3,234,Linear,45,5394.59,15000,Music,Early Access,Bot Competition,Maybe,Bot
U2236,35,New York/USA,827,Yes,National ID,2.24,3647,Erratic,19,2666.63,5954,Sports,Face-value Resale,Interface Complexity,Maybe,Scalper
U1368,47,Chicago/USA,1198,Yes,State ID,6.54,3704,Natural,1,308.03,477.86,Theatre,Group Booking,Bot Competition,Yes,Fan
U2577,38,Austin/USA,299,No,None,1.97,2072,Linear,14,3870.15,7938.03,Sports,Early Access,Interface Complexity,No,Scalper
U2812,33,Dubai/UAE,1,No,None,0.1,231,Linear,45,2926.63,9220,Music,Early Access,Bot Competition,No,Bot
U1300,38,Mexico City/Mexico,957,Yes,National ID,5.04,6525,Natural,4,50,80,Sports,Group Booking,Interface Complexity,Yes,Fan
U1049,42,Melbourne/Australia,825,Yes,Driver's License,5.19,8578,Natural,10,621.52,800,Music,Face-value Resale,High Prices,Yes,Fan
U2075,45,Berlin/Germany,464,No,None,3.43,2943,Erratic,15,2504.2,5115.49,Sports,Face-value Resale,Interface Complexity,Maybe,Scalper
U1772,26,São Paulo/Brazil,817,Yes,Passport,4.07,7642,Natural,3,538.47,722.24,Music,Group Booking,Bot Competition,Yes,Fan
U1148,19,Madrid/Spain,837,Yes,Driver's License,3.48,6348,Natural,5,720.58,800,Music,Face-value Resale,High Prices,Yes,Fan
U2128,27,London/UK,966,No,None,4.94,5578,Erratic,20,2386.85,5214.92,Music,Early Access,Interface Complexity,No,Scalper
U1743,35,Dubai/UAE,1304,Yes,Driver's License,5.77,8976,Natural,4,243.46,400.04,Theatre,Face-value Resale,Bot Competition,Yes,Fan
U2770,33,Mexico City/Mexico,101,No,None,0.52,191,Linear,39,5210.29,15000,Sports,Early Access,Interface Complexity,No,Bot
U2716,24,Singapore/Singapore,158,No,None,0.59,147,Linear,52,5897.65,15000,Theatre,Early Access,Bot Competition,No,Bot
U2409,34,Amsterdam/Netherlands,696,Yes,State ID,3.17,3726,Erratic,17,2466.66,5476.46,Music,Early Access,Interface Complexity,Maybe,Scalper
U1379,19,Paris/France,1046,Yes,State ID,5.92,9002,Natural,3,324.91,537.76,Music,Face-value Resale,Bot Competition,Maybe,Fan
U2836,29,Tokyo/Japan,113,Yes,State ID,0.64,218,Linear,45,4960.37,14821.38,Sports,Early Access,Bot Competition,Maybe,Bot
U1625,25,Vancouver/Canada,1291,Yes,National ID,3.91,4268,Natural,2,531.43,800,Music,Group Booking,High Prices,Yes,Fan
U1194,44,Tokyo/Japan,1693,Yes,National ID,2.7,8434,Natural,4,615.44,800,Sports,Early Access,High Prices,Yes,Fan
U2340,28,São Paulo/Brazil,489,Yes,State ID,3.87,1868,Linear,22,2722.05,5925.46,Music,Face-value Resale,Interface Complexity,Maybe,Scalper
U1543,25,Paris/France,1206,Yes,State ID,4.05,13006,Natural,4,190.38,256.25,Music,Face-value Resale,Bot Competition,Maybe,Fan
U1516,20,Austin/USA,987,Yes,Driver's License,3.89,6515,Natural,1,741.26,800,Sports,Face-value Resale,Bot Competition,Yes,Fan
U1649,46,Chicago/USA,759,Yes,State ID,4.69,10690,Natural,2,238.58,354.31,Sports,Face-value Resale,Interface Complexity,Yes,Fan
U2784,25,New York/USA,148,No,None,0.51,88,Linear,49,5428.01,15000,Music,Early Access,Bot Competition,No,Bot
U1769,27,London/UK,733,Yes,State ID,5.01,12107,Natural,7,73.9,149.63,Sports,Group Booking,Interface Complexity,Maybe,Fan
U2080,26,Vancouver/Canada,791,Yes,Driver's License,2.12,3027,Erratic,14,3811.04,7882.57,Music,Early Access,Interface Complexity,Maybe,Scalper
U2542,40,Mumbai/India,519,No,None,4.54,1930,Erratic,21,1947.75,3897.51,Music,Early Access,High Prices,Maybe,Scalper
U2192,39,São Paulo/Brazil,370,Yes,State ID,2.5,4148,Erratic,13,2452.66,5409.93,Music,Face-value Resale,Interface Complexity,Maybe,Scalper
U2813,20,Los Angeles/USA,8,Yes,Driver's License,0.44,265,Linear,44,3668.95,10994.24,Theatre,Early Access,High Prices,No,Bot
U1440,22,Chicago/USA,751,Yes,Driver's License,3.9,10674,Natural,4,648.18,800,Sports,Face-value Resale,Bot Competition,Yes,Fan
U1078,23,London/UK,711,Yes,Passport,6.67,9569,Natural,2,533.83,800,Sports,Group Booking,High Prices,Yes,Fan
U2951,26,Chicago/USA,167,No,None,0.66,161,Linear,43,5209.04,15000,Music,Early Access,High Prices,No,Bot
U1332,27,Melbourne/Australia,721,Yes,National ID,4.3,7996,Natural,1,502.47,625.08,Theatre,Group Booking,High Prices,Yes,Fan
U2557,28,Toronto/Canada,208,Yes,Driver's License,5.77,3778,Linear,22,1701.16,3625.47,Sports,Face-value Resale,Bot Competition,No,Scalper
U2117,28,Melbourne/Australia,423,No,None,2.32,3389,Erratic,34,2701.2,5844.92,Music,Face-value Resale,Interface Complexity,Maybe,Scalper
U2978,21,Berlin/Germany,222,No,None,0.95,281,Linear,62,4069.55,11958.57,Music,Face-value Resale,Bot Competition,No,Bot
U1586,30,Austin/USA,374,Yes,Driver's License,3.47,9480,Natural,4,632.58,800,Sports,Face-value Resale,Bot Competition,Yes,Fan
U1718,28,São Paulo/Brazil,936,Yes,Passport,4,5738,Natural,1,291.21,497.41,Sports,Face-value Resale,Bot Competition,Yes,Fan
U2175,25,Berlin/Germany,278,No,None,4.5,2933,Linear,23,3370.28,7321.25,Music,Early Access,Bot Competition,Maybe,Scalper
U2196,28,Toronto/Canada,856,Yes,Driver's License,2.75,3426,Erratic,14,2659.85,6056.69,Music,Early Access,Bot Competition,Maybe,Scalper
U2198,35,Melbourne/Australia,309,No,None,0.69,3224,Linear,22,2575.56,5483.98,Music,Face-value Resale,High Prices,No,Scalper
U1537,36,Tokyo/Japan,893,Yes,National ID,3.57,3365,Natural,2,308.9,441.02,Sports,Face-value Resale,High Prices,Maybe,Fan
U2078,43,Dubai/UAE,652,No,None,4.38,1501,Erratic,18,3055.62,6795.83,Music,Group Booking,Interface Complexity,No,Scalper
U2546,40,Seoul/South Korea,504,No,None,0.7,2940,Erratic,12,3237.66,7472.19,Music,Face-value Resale,Interface Complexity,Maybe,Scalper
U1529,26,São Paulo/Brazil,239,Yes,National ID,2.1,7885,Natural,5,487.58,696.02,Theatre,Face-value Resale,High Prices,Yes,Fan
U2318,35,Paris/France,796,No,None,0.5,800,Erratic,28,3322.46,7298.82,Sports,Early Access,Interface Complexity,No,Scalper
U2296,36,Toronto/Canada,578,No,None,4.69,3184,Erratic,10,3353.24,7428.01,Theatre,Early Access,Interface Complexity,Maybe,Scalper
U2270,22,Amsterdam/Netherlands,758,No,None,0.65,2890,Linear,20,2164.29,4634.78,Sports,Group Booking,High Prices,Maybe,Scalper
U1141,18,São Paulo/Brazil,608,Yes,Driver's License,5.94,6157,Natural,1,516.6,800,Sports,Face-value Resale,High Prices,Maybe,Fan
U2114,30,Mumbai/India,453,Yes,Driver's License,2.49,2782,Erratic,11,2742.69,6203.02,Music,Early Access,Interface Complexity,No,Scalper
U2458,38,Los Angeles/USA,483,No,None,5.72,2017,Erratic,18,3877.55,8000,Music,Group Booking,High Prices,No,Scalper
U2305,37,Melbourne/Australia,436,Yes,State ID,4.43,3049,Erratic,25,3205.7,7520.13,Sports,Face-value Resale,Interface Complexity,No,Scalper
U1466,25,Toronto/Canada,717,Yes,Passport,5.21,8824,Natural,4,434.63,605.45,Sports,Face-value Resale,Bot Competition,Yes,Fan
U1613,24,Melbourne/Australia,570,Yes,Driver's License,7.25,12468,Natural,1,704.78,800,Sports,Group Booking,Bot Competition,Maybe,Fan
U1163,26,Tokyo/Japan,431,Yes,State ID,5.56,7605,Natural,3,994.76,800,Theatre,Face-value Resale,Bot Competition,Maybe,Fan
U1114,38,London/UK,990,Yes,Driver's License,3.59,7639,Natural,4,477.84,702.73,Music,Group Booking,Interface Complexity,Yes,Fan
U2782,21,Toronto/Canada,173,No,None,1.17,111,Linear,43,4409.58,13486.06,Music,Early Access,High Prices,Maybe,Bot
U1933,37,Austin/USA,839,Yes,State ID,4.96,7698,Natural,3,466.61,696.2,Sports,Early Access,High Prices,Yes,Fan
U1720,22,Paris/France,621,Yes,State ID,5.99,8688,Natural,1,534.36,738.69,Music,Face-value Resale,Interface Complexity,Yes,Fan
U1908,36,Dubai/UAE,1263,Yes,State ID,5.14,6256,Natural,6,637.18,800,Music,Face-value Resale,High Prices,Yes,Fan
U2658,30,Chicago/USA,115,No,None,0.98,273,Linear,37,5348.53,15000,Music,Group Booking,Bot Competition,No,Bot
U1611,18,Seoul/South Korea,1485,Yes,Passport,4.43,5928,Natural,4,630.08,800,Sports,Face-value Resale,High Prices,Yes,Fan
U2264,41,São Paulo/Brazil,549,No,None,1.32,2867,Erratic,19,2212.96,5222.34,Music,Early Access,Interface Complexity,Maybe,Scalper
U1531,39,Toronto/Canada,808,Yes,Passport,3.91,11772,Natural,1,217.39,216.65,Sports,Early Access,Interface Complexity,Yes,Fan
U2890,28,Vancouver/Canada,78,No,None,0.46,116,Linear,25,2968.98,9343.99,Sports,Early Access,Bot Competition,No,Bot
U2678,29,London/UK,102,Yes,National ID,0.45,97,Linear,34,5021.25,15000,Music,Early Access,Bot Competition,No,Bot
U1455,24,Melbourne/Australia,958,Yes,State ID,5.15,3000,Natural,3,448.46,605.64,Music,Group Booking,Interface Complexity,Yes,Fan
U1804,42,Sydney/Australia,748,Yes,National ID,2.68,10115,Natural,3,452.78,551.02,Sports,Group Booking,Interface Complexity,Yes,Fan
U1431,30,Berlin/Germany,802,Yes,Passport,5.21,9500,Natural,4,271.57,402.33,Music,Group Booking,Bot Competition,Yes,Fan
U1830,18,Dubai/UAE,582,Yes,National ID,4.81,6354,Natural,4,408.34,579.11,Sports,Face-value Resale,High Prices,Yes,Fan
U2214,39,Los Angeles/USA,543,No,None,5.5,3181,Erratic,17,3973.14,8000,Music,Early Access,High Prices,No,Scalper
U1477,28,Melbourne/Australia,972,Yes,State ID,4.6,9794,Natural,5,230.89,392.75,Sports,Face-value Resale,High Prices,Maybe,Fan
U1959,26,Vancouver/Canada,971,Yes,National ID,4.62,7859,Natural,2,366.08,512.69,Music,Face-value Resale,Bot Competition,Yes,Fan
U1626,29,Seoul/South Korea,865,Yes,Driver's License,4.6,9527,Natural,3,445.03,619.43,Theatre,Face-value Resale,High Prices,Yes,Fan
U1987,23,Mumbai/India,808,Yes,National ID,3.78,8076,Natural,6,281.21,473.76,Music,Face-value Resale,Bot Competition,Yes,Fan
U1284,30,São Paulo/Brazil,1022,Yes,State ID,4.13,5703,Natural,2,516.27,800,Music,Face-value Resale,Bot Competition,Yes,Fan
U1006,26,Los Angeles/USA,1003,Yes,State ID,2.38,8610,Natural,3,298.15,466.34,Sports,Early Access,Bot Competition,Yes,Fan
U1994,26,Amsterdam/Netherlands,1196,Yes,State ID,5.05,10094,Natural,3,301.77,336.21,Sports,Group Booking,Bot Competition,Yes,Fan
